"Timestamp","Branch","Select your favourite movie from below.","Character Preferences","Character Preferences","Character Preferences","Character Preferences","Character Preferences","Character Preferences","Character Preferences"
"2022/11/06 10:19:55 PM GMT+5:30","COE,CSE,CSBS","Zootopia","","","","","","Judy Hops;Nick Wilde",""
"2022/11/07 10:08:25 AM GMT+5:30","COE,CSE,CSBS","Big Hero Six","Baymax","","","","","",""
"2022/11/07 10:09:39 AM GMT+5:30","COE,CSE,CSBS","Hotel Transylvania","","","","Frankenstien","","",""
"2022/11/07 10:19:59 AM GMT+5:30","ENC,EEC,ECE","Big Hero Six","Baymax;Hiro Hamada;GoGo Tomago;Tadashi Hamada;Alistair Krei;Fred;Honey Lemon;Wasabi","","","","","",""
"2022/11/07 10:22:15 AM GMT+5:30","COE,CSE,CSBS","Peter Pan","","","","","","","Peter Pan"
"2022/11/07 10:31:01 AM GMT+5:30","COE,CSE,CSBS","Big Hero Six","Baymax;Hiro Hamada;Fred;Wasabi","","","","","",""
"2022/11/07 10:31:15 AM GMT+5:30","COE,CSE,CSBS","Hotel Transylvania","","","","Murray","","",""
"2022/11/07 10:37:59 AM GMT+5:30","COE,CSE,CSBS","Shrek","","","Shrek;Donkey;Princess Fionna;Puss in Boots","","","",""
"2022/11/07 10:45:46 AM GMT+5:30","COE,CSE,CSBS","Up","","","","","Dug","",""
"2022/11/07 12:45:22 PM GMT+5:30","COE,CSE,CSBS","Shrek","","","Shrek","","","",""
"2022/11/07 3:14:54 PM GMT+5:30","ENC,EEC,ECE","Big Hero Six","Baymax;Hiro Hamada;Tadashi Hamada","","","","","",""
"2022/11/09 9:28:02 PM GMT+5:30","CHE","Peter Pan","","","","","","","Captain Hook"
"2022/11/09 9:28:59 PM GMT+5:30","CHE","Zootopia","","","","","","Chief Bogo;Officer Clawhauser;Mayor Lionheart;Mr Big",""
"2022/11/09 9:39:43 PM GMT+5:30","MEC,CIE","Inside Out","","Disgust","","","","",""
"2022/11/09 9:59:08 PM GMT+5:30","ENC,EEC,ECE","Inside Out","","Riley;Joy;Sadness","","","","",""
"2022/11/10 1:28:55 PM GMT+5:30","BME,BT","Zootopia","","","","","","Judy Hops;Officer Clawhauser",""
"2022/11/10 1:37:00 PM GMT+5:30","MEC,CIE","Inside Out","","Joy;Anger","","","","",""
"2022/11/10 1:37:12 PM GMT+5:30","CHE","Shrek","","","Puss in Boots;Gingerbread","","","",""
"2022/11/10 1:37:20 PM GMT+5:30","MEC,CIE","Up","","","","","Ellie Fredrickson","",""
"2022/11/10 1:37:36 PM GMT+5:30","CHE","Hotel Transylvania","","","","Murray;Frankenstien","","",""
"2022/11/10 1:38:06 PM GMT+5:30","ENC,EEC,ECE","Shrek","","","Puss in Boots;Lord Farquaad","","","",""
"2022/11/10 1:39:21 PM GMT+5:30","CHE","Zootopia","","","","","","Bellwether;Chief Bogo",""
"2022/11/10 1:39:32 PM GMT+5:30","MEC,CIE","Shrek","","","Shrek;Donkey;Princess Fionna","","","",""
"2022/11/10 1:39:51 PM GMT+5:30","MEC,CIE","Up","","","","","Russel;Dug","",""
"2022/11/10 1:40:16 PM GMT+5:30","BME,BT","Big Hero Six","Hiro Hamada;Wasabi","","","","","",""
"2022/11/10 1:40:41 PM GMT+5:30","BME,BT","Hotel Transylvania","","","","Jonathan;Frankenstien","","",""
"2022/11/10 1:49:09 PM GMT+5:30","COE,CSE,CSBS","Peter Pan","","","","","","","Tinkerbell;Captain Hook"
"2022/11/10 1:53:33 PM GMT+5:30","COE,CSE,CSBS","Shrek","","","Gingerbread","","","",""
"2022/11/10 1:54:53 PM GMT+5:30","MEC,CIE","Zootopia","","","","","","Judy Hops;Mayor Lionheart",""
"2022/11/10 1:56:14 PM GMT+5:30","ENC,EEC,ECE","Up","","","","","Dug","",""
"2022/11/10 2:11:11 PM GMT+5:30","COE,CSE,CSBS","Inside Out","","Joy;Sadness;Disgust;Bing Bong","","","","",""
"2022/11/10 3:03:56 PM GMT+5:30","COE,CSE,CSBS","Inside Out","","Joy","","","","",""
"2022/11/10 3:10:56 PM GMT+5:30","COE,CSE,CSBS","Hotel Transylvania","","","","Jonathan;Dracula","","",""
"2022/11/10 3:11:27 PM GMT+5:30","COE,CSE,CSBS","Zootopia","","","","","","Nick Wilde;Officer Clawhauser;Mr Big",""
"2022/11/10 3:11:45 PM GMT+5:30","COE,CSE,CSBS","Big Hero Six","Baymax","","","","","",""
"2022/11/10 3:12:07 PM GMT+5:30","COE,CSE,CSBS","Peter Pan","","","","","","","Peter Pan"
"2022/11/10 3:12:23 PM GMT+5:30","COE,CSE,CSBS","Shrek","","","Shrek","","","",""
"2022/11/10 3:15:01 PM GMT+5:30","COE,CSE,CSBS","Hotel Transylvania","","","","Jonathan;Dracula","","",""
"2022/11/10 3:15:24 PM GMT+5:30","COE,CSE,CSBS","Big Hero Six","Baymax;Fred","","","","","",""
"2022/11/10 4:18:09 PM GMT+5:30","COE,CSE,CSBS","Inside Out","","Joy","","","","",""
"2022/11/10 5:57:11 PM GMT+5:30","COE,CSE,CSBS","Shrek","","","Shrek","","","",""
"2022/11/10 6:07:25 PM GMT+5:30","COE,CSE,CSBS","Zootopia","","","","","","Judy Hops;Nick Wilde",""
"2022/11/10 6:07:54 PM GMT+5:30","COE,CSE,CSBS","Big Hero Six","Hiro Hamada","","","","","",""
"2022/11/10 6:15:48 PM GMT+5:30","COE,CSE,CSBS","Hotel Transylvania","","","","Jonathan","","",""
"2022/11/10 6:27:00 PM GMT+5:30","COE,CSE,CSBS","Inside Out","","Bing Bong","","","","",""
"2022/11/10 6:50:30 PM GMT+5:30","COE,CSE,CSBS","Hotel Transylvania","","","","Dracula","","",""
"2022/11/11 8:52:29 AM GMT+5:30","CHE","Shrek","","","Shrek;Donkey","","","",""
"2022/11/11 8:52:47 AM GMT+5:30","CHE","Shrek","","","Shrek","","","",""
"2022/11/11 8:53:09 AM GMT+5:30","CHE","Shrek","","","Donkey","","","",""
"2022/11/11 8:53:19 AM GMT+5:30","CHE","Shrek","","","Shrek;Donkey","","","",""
"2022/11/11 8:53:35 AM GMT+5:30","CHE","Shrek","","","Shrek;Donkey","","","",""
"2022/11/11 8:53:58 AM GMT+5:30","CHE","Shrek","","","Shrek;Donkey","","","",""
"2022/11/11 8:54:07 AM GMT+5:30","CHE","Shrek","","","Shrek;Donkey","","","",""
"2022/11/11 8:54:18 AM GMT+5:30","CHE","Shrek","","","Shrek;Donkey","","","",""
"2022/11/11 8:54:39 AM GMT+5:30","BME,BT","Zootopia","","","","","","Nick Wilde;Bellwether",""
